Year	Total Apple Bullish En. Per-Year	Year	Total Apple Bearish En. Per-Year	Year	Total Microsoft Bullish En. Per-Year	Year	Total Microsoft Bearish En. Per-Year	Apple Porduct Year	Apple Product Released Per-Year	Bullish Engulfing Dates (Apple)	Bearish Engulfing Dated (Apple)	Bullish Engulfing Dates (Microsoft)	Bearish Engulfing Dates (Microsoft)
										6/14/02	2/7/03	5/4/01	11/14/01
										6/24/02	3/3/03	5/16/01	3/7/02
										7/3/02	6/6/03	6/26/01	4/26/02
										7/11/02	8/22/03	7/11/01	5/31/02
										7/24/02	10/30/03	9/10/01	10/24/02
										1/16/03	11/7/03	12/3/01	12/26/02
										8/4/03	11/14/03	3/15/02	1/15/03
										10/28/03	12/9/03	4/8/02	2/7/03
										11/12/03	12/19/03	6/14/02	6/13/03
										3/9/04	1/2/04	6/24/02	7/24/03
										7/14/04	2/13/04	8/29/02	8/5/03
										10/5/04	2/19/04	1/29/03	1/8/04
										8/5/05	3/31/04	2/13/03	2/9/04
										10/19/05	5/19/04	4/22/03	4/13/04
										1/30/06	6/21/04	5/6/03	4/15/04
										2/22/06	6/28/04	7/1/03	5/19/04
										6/8/06	7/21/04	9/18/03	6/28/04
										10/9/06	7/30/04	4/19/04	8/5/04
										2/20/07	12/7/04	5/25/04	9/13/04
										10/22/07	12/27/04	7/14/04	10/7/04
										3/13/08	2/9/05	8/18/04	1/21/05
										7/1/08	4/20/05	2/24/05	3/28/05
										10/10/08	6/6/05	4/12/05	7/15/05
										10/23/08	9/1/05	6/7/05	5/16/06
										11/13/08	10/4/05	7/5/05	7/27/06
										12/12/08	1/17/06	8/15/05	9/21/06
										1/8/09	2/9/06	8/29/05	12/18/06
										4/1/09	5/18/06	11/10/05	10/11/07
										9/14/09	11/3/06	5/22/06	2/19/08
										2/11/10	1/3/07	12/8/06	3/14/08
										3/9/10	1/17/07	12/26/06	11/19/08
										5/21/10	1/25/07	4/19/07	1/9/09
										8/25/10	4/9/07	5/1/07	1/28/10
										9/22/10	4/17/07	6/27/07	3/2/10
										5/27/11	8/23/07	9/18/07	5/26/10
										6/23/11	9/5/07	10/30/07	6/21/10
										9/6/11	10/19/07	5/1/08	7/16/10
										6/8/12	12/11/07	5/9/08	11/3/10
										9/27/12	2/12/08	7/15/08	12/28/11
										12/17/12	2/21/08	9/11/08	3/16/12
										5/20/13	3/6/08	11/13/08	6/11/12
										7/9/13	5/14/08	12/5/08	7/20/12
										10/11/13	9/8/08	2/2/09	2/25/13
										3/18/14	12/30/08	4/21/09	3/8/13
										5/16/14	1/6/09	5/26/09	3/25/13
										9/23/14	2/26/09	7/28/09	7/1/13
										11/11/14	6/22/09	8/12/09	12/17/13
										3/29/16	8/10/09	8/27/09	3/7/14
										4/1/16	10/8/09	1/19/10	9/2/14
										6/9/16	1/11/10	2/11/10	11/21/14
										7/6/16	3/19/10	3/4/10	6/19/15
										8/19/16	3/25/10	6/1/10	9/9/15
										9/12/16	4/30/10	10/26/10	12/24/15
										12/23/16	5/13/10	12/8/10	1/13/16
											6/21/10	8/26/11	3/3/16
											9/30/10	10/4/11	4/26/16
											11/9/10	1/25/12	
											12/7/10	1/30/12	
											3/1/11	7/3/12	
											4/1/11	9/20/12	
											6/6/11	10/26/12	
											8/31/11	11/28/12	
											12/13/11	1/25/13	
											2/15/12	3/1/13	
											3/5/12	3/27/13	
											9/10/12	5/2/13	
											10/11/12	6/24/13	
											2/25/13	8/12/13	
											9/20/13	8/29/13	
											10/3/13	11/13/13	
											10/29/13	6/25/14	
											12/11/13	8/12/14	
											1/9/14	10/8/14	
											3/13/14	3/24/15	
											3/26/14	11/6/15	
											4/28/15	3/24/16	
											7/31/15	5/16/16	
											9/9/15	6/16/16	
											2/18/16	9/15/16	
